rank,name,age,team,position
486,Tye Kartye,23,SEA,F
487,Adam Larsson,32,SEA,D
488,Steven Lorentz,28,TOR,C
489,Isac Lundeström,25,ANA,C
490,Josh Manson,33,COL,D
491,Scott Mayfield,32,NYI,D
492,Brayden McNabb,34,VEG,D
493,K'Andre Miller,25,NYR,D
494,Daniil Miromanov,27,CGY,D
495,Alex Newhook,24,MTL,C
496,Jamie Oleksiak,32,SEA,D
497,Andrew Peeke,26,BOS,D
498,Scott Perunovich,26,STL,D
499,Brett Pesce,30,NJD,D
500,Jeff Petry,37,DET,D
501,Anthony Richard,28,PHI,C
502,Dylan Samberg,26,WPG,D
503,Joe Veleno,25,DET,C
504,Nathan Walker,30,STL,C
505,Sean Walker,30,CAR,D
506,Philip Tomasino,23,PIT,C
507,Emil Andrae,22,PHI,D
508,Cam Atkinson,35,TBL,RW
509,Nathan Bastian,27,NJD,RW
510,Ben Chiarot,33,DET,D
511,Jamie Drysdale,22,PHI,D
512,Anthony Duclair,29,NYI,LW
513,Michael Eyssimont,28,TBL,C
514,Isaiah George,20,NYI,D
515,Carl Grundström,27,SJS,RW
516,Erik Gustafsson,32,DET,D
517,David Kämpf,30,TOR,C
518,Vladislav Kolyachonok,23,UTA,D
519,Philipp Kurashev,25,CHI,C
520,Olli Määttä,30,UTA,D
521,Kyle MacLean,25,NYI,F
522,Sam Malinski,26,COL,D
523,Victor Mancini,22,NYR,D
524,Michael McCarron,29,NSH,RW
525,Tomáš Nosek,32,FLA,C
526,Juuso Pärssinen,23,NSH,C
527,Mikael Pyyhtia,23,CBJ,LW
528,Jan Rutta,34,SJS,D
529,Max Sasson,24,VAN,F
530,Cole Smith,29,NSH,F
531,Troy Stecher,30,EDM,D
532,Jayden Struble,23,MTL,D
533,Oskar Sundqvist,30,STL,C
534,Alexandre Texier,25,STL,C
535,Jack Thompson,22,SJS,D
536,Alexey Toropchenko,25,STL,RW
537,Yakov Trenin,28,MIN,C
538,Arber Xhekaj,24,MTL,D
539,Kasperi Kapanen,28,STL,RW
540,Morgan Barron,26,WPG,C
541,Jake Bean,26,CGY,D
542,Jacob Bernard-Docker,24,OTT,D
543,Adam Boqvist,24,FLA,D
544,Jonny Brodzinski,31,NYR,C
545,Brandon Carlo,28,BOS,D
546,Seamus Casey,21,NJD,D
547,Ty Dellandrea,24,SJS,C
548,Jonathan Drouin,29,COL,LW
549,Adam Edstrom,24,NYR,C
550,Christian Fischer,27,DET,RW
551,Luke Glendening,35,TBL,C
552,Barclay Goodrow,31,SJS,RW
553,Nicolas Hague,26,VEG,D
554,Drew Helleson,23,ANA,D
555,Ross Johnston,30,ANA,LW
556,Mathieu Joseph,27,STL,RW
557,Dakota Joshua,28,VAN,C
558,Marat Khusnutdinov,22,MIN,C
559,Klim Kostin,25,SJS,C
560,Jakub Lauko,24,MIN,C
561,Ryan Lindgren,26,NYR,D
562,Ryan Lomberg,30,CGY,LW
563,Alec Martinez,37,CHI,D
564,Fraser Minten,20,TOR,C
565,Ivan Miroshnichenko,20,WSH,LW
566,Adam Pelech,30,NYI,D
567,Jakob Pelletier,23,CGY,LW
568,Matthew Poitras,20,BOS,C
569,Aatu Räty,22,VAN,C
570,Alexander Romanov,25,NYI,D
571,Kevin Rooney,31,CGY,C
572,Derek Ryan,38,EDM,C
573,Mattias Samuelsson,24,BUF,D
574,Colton Sissons,31,NSH,C
575,Carson Soucy,30,VAN,D
576,Logan Stanley,26,WPG,D
577,Juuso Välimäki,26,UTA,D
578,Jimmy Vesey,31,NYR,LW
579,Oliver Wahlstrom,24,NYI,RW
580,Daniel Sprong,27,VAN,RW
581,Simon Benoit,26,TOR,D
582,Brett Berard,22,NYR,LW
583,Jacob Bryson,27,BUF,D
584,Nikita Chibrikov,21,WPG,RW
585,Marc Del Gaizo,25,NSH,D
586,Vincent Desharnais,28,VAN,D
587,Justin Dowling,34,NJD,C
588,Ty Emberson,24,EDM,D
589,Jansen Harkins,27,ANA,C
590,Justin Holl,33,DET,D
591,Henri Jokiharju,25,BUF,D
592,Matthew Kessel,24,STL,D
593,Pyotr Kochetkov,25,CAR,G
594,Kaedan Korczak,24,VEG,D
595,Rasmus Kupari,24,WPG,C
596,Maveric Lamoureux,21,UTA,D
597,Nils Lundkvist,24,DAL,D
598,Zack MacEwen,28,OTT,C
599,Logan Mailloux,21,MTL,D
600,Jonathon Merrill,32,MIN,D
601,Jordan Oesterle,32,BOS,D
602,Zack Ostapchuk,21,OTT,C
603,Brendan Smith,35,DAL,D
604,Akil Thomas,25,LAK,C
605,Zach Whitecloud,28,VEG,D
606,Adam Wilsby,24,NSH,D
607,Miles Wood,29,COL,LW
608,Nils Åman,24,VAN,C
609,Nicolas Aubé-Kubel,28,BUF,RW
610,Tyson Barrie,33,CGY,D
611,Lian Bichsel,20,DAL,D
612,Nick Blankenburg,26,NSH,D
613,William Borgen,28,SEA,D
614,Robert Bortuzzo,35,UTA,D
615,Kyle Burroughs,29,LAK,D
616,Casey Cizikas,33,NYI,C
617,Phillip Di Giuseppe,31,VAN,LW
618,Josh Doan,22,UTA,RW
619,Sean Durzi,26,UTA,D
620,Zemgus Girgensons,31,TBL,C
621,Gage Goncalves,24,TBL,C
622,Travis Hamonic,34,OTT,D
623,Jordan Harris,24,CBJ,D
624,Samuel Helenius,22,LAK,C
625,Grant Hutton,29,NYI,D
626,Erik Johnson,36,PHI,D
627,Jack Johnson,38,CBJ,D
628,Tyler Johnson,34,BOS,C
629,Pierre-Olivier Joseph,25,STL,D
630,Tyson Jost,26,CAR,C
631,Oliver Kapanen,21,MTL,C
632,Tyler Kleven,23,OTT,D
633,Oliver Kylington,27,COL,D
634,Sam Lafferty,29,BUF,C
635,Curtis Lazar,29,NJD,C
636,Andre Lee,24,LAK,LW
637,John Ludvig,24,COL,D
638,Dylan McIlrath,32,WSH,D
639,Marc McLaughlin,25,BOS,F
640,Tyler Motte,29,DET,C
641,Philippe Myers,28,TOR,D
642,Matthew Nieto,32,PIT,LW
643,Brayden Pachal,25,CGY,D
644,Owen Pickering,21,PIT,D
645,Valtteri Puustinen,25,PIT,RW
646,Cole Reinhardt,24,OTT,LW
647,Luke Schenn,35,NSH,D
648,Michael Sgarbossa,32,WSH,C
649,Ryan Shea,27,PIT,D
650,Fedor Svechkov,21,NSH,C
651,Dustin Wolf,23,CGY,G
652,Artem Zub,29,OTT,D
653,Joey Anderson,26,CHI,RW
654,Yaroslav Askarov,22,SJS,G
655,Arshdeep Bains,24,VAN,F
656,Justin Barron,23,NSH,D
657,Callahan Burke,27,VEG,C
658,Drake Caggiula,30,EDM,LW
659,Ethan Cardwell,22,SJS,RW
660,Declan Carlile,24,TBL,D
661,Lucas Condotta,27,MTL,F
662,Louis Crevier,23,CHI,D
663,Nicolas Deslauriers,33,PHI,LW
664,Connor Dewar,25,TOR,C
665,Walker Duehr,27,CGY,F
666,Mathew Dumba,30,DAL,D
667,Andreas Englund,29,LAK,D
668,Derek Forbort,32,VAN,D
669,Jonah Gadjovich,26,FLA,LW
670,Alexandar Georgiev,28,SJS,G
671,Dennis Gilbert,28,BUF,D
672,Helge Grans,22,PHI,D
673,Kevin Gravel,32,NSH,D
674,Daniil Gushchin,22,SJS,LW
675,Filip Gustavsson,26,MIN,G
676,Joel Hofer,24,STL,G
677,David Jiříček,21,CBJ,D
678,Albert Johansson,24,DET,D
679,Wyatt Kaiser,22,CHI,D
680,Spencer Knight,23,FLA,G
681,Tyson Kozak,22,BUF,C
682,Jeremy Lauzon,27,NSH,D
683,Jonathan Lekkerimaki,20,VAN,RW
684,Ukko-Pekka Luukkonen,25,BUF,G
685,Josh Mahura,26,SEA,D
686,Matt Martin,35,NYI,LW
687,Georgii Merkulov,24,BOS,F
688,Jacob Moverare,26,LAK,D
689,Shakir Mukhamadullin,23,SJS,D
690,Frank Nazar,21,CHI,C
691,Simon Nemec,20,NJD,D
